participant;platform;task;correct;seconds
11;AWS;4;yes;153
11;AWS;7;yes;201
11;AWS;3;yes;80
11;AWS;5;yes;90
11;AWS;2;yes;120
11;AWS;6;yes;60
11;AWS;1;yes;55
10;AWS;2;yes;183
10;AWS;3;yes;105
10;AWS;7;yes;236
10;AWS;1;yes;77
10;AWS;6;yes;111
10;AWS;5;yes;93
9;AWS;1;yes;567
9;AWS;5;yes;409
9;AWS;2;yes;183
9;AWS;6;yes;149
9;AWS;4;yes;207
9;AWS;3;yes;154
9;AWS;7;yes;220
8;AWS;2;yes;326
8;AWS;7;yes;418
8;AWS;3;yes;42
8;AWS;1;yes;30
8;AWS;5;yes;64
8;AWS;6;yes;69
8;AWS;4;yes;134
7;AWS;6;yes;222
7;AWS;2;yes;167
7;AWS;5;yes;212
7;AWS;3;yes;133
7;AWS;7;yes;144
7;AWS;4;yes;93
7;AWS;1;yes;103
6;AWS;5;no;595
6;AWS;3;yes;433
6;AWS;2;yes;175
6;AWS;1;yes;189
6;AWS;7;no;1104
6;AWS;4;no;290
6;AWS;6;yes;189
5;AWS;3;yes;142
5;AWS;2;no;109
5;AWS;1;yes;97
5;AWS;5;yes;109
5;AWS;6;yes;70
5;AWS;7;yes;150
5;AWS;4;yes;113
4;AWS;5;yes;230
4;AWS;6;yes;120
4;AWS;3;yes;108
4;AWS;7;yes;400
4;AWS;2;yes;230
4;AWS;4;yes;220
4;AWS;1;yes;140
3;AWS;2;yes;787
3;AWS;1;yes;262
3;AWS;7;yes;1030
3;AWS;5;yes;180
3;AWS;4;yes;216
3;AWS;6;yes;85
3;AWS;3;yes;162
2;AWS;3;yes;344
2;AWS;6;yes;400
2;AWS;4;no;128
2;AWS;5;yes;268
2;AWS;2;yes;195
2;AWS;1;yes;138
2;AWS;7;no;120
1;AWS;2;yes;310
1;AWS;7;yes;450
1;AWS;1;yes;210
1;AWS;6;yes;150
1;AWS;3;yes;190
1;AWS;5;yes;175
1;AWS;4;yes;270
11;Azure;4;yes;605
11;Azure;7;yes;427
11;Azure;5;yes;150
11;Azure;2;yes;107
11;Azure;6;yes;135
11;Azure;1;yes;84
10;Azure;2;yes;445
10;Azure;3;yes;327
10;Azure;7;yes;1037
10;Azure;1;no;234
10;Azure;6;yes;127
10;Azure;5;no;181
10;Azure;4;yes;208
9;Azure;1;yes;288
9;Azure;5;yes;564
9;Azure;2;yes;147
9;Azure;6;yes;379
9;Azure;4;yes;281
9;Azure;3;yes;113
9;Azure;7;yes;213
8;Azure;2;yes;272
8;Azure;7;yes;920
8;Azure;3;yes;172
8;Azure;1;yes;143
8;Azure;5;yes;374
8;Azure;6;yes;265
8;Azure;4;yes;152
7;Azure;6;yes;484
7;Azure;2;yes;203
7;Azure;5;yes;270
7;Azure;3;yes;111
7;Azure;7;yes;774
7;Azure;4;yes;150
7;Azure;1;yes;106
6;Azure;5;yes;827
6;Azure;3;yes;326
6;Azure;2;yes;398
6;Azure;1;yes;222
6;Azure;7;yes;433
6;Azure;4;yes;249
6;Azure;6;no;219
5;Azure;3;yes;462
5;Azure;2;yes;244
5;Azure;1;yes;181
5;Azure;5;no;241
5;Azure;6;yes;169
5;Azure;7;no;214
5;Azure;4;yes;231
4;Azure;5;yes;660
4;Azure;6;yes;220
4;Azure;3;yes;145
4;Azure;7;yes;227
4;Azure;2;yes;180
4;Azure;4;yes;210
4;Azure;1;yes;160
3;Azure;2;yes;1276
3;Azure;1;yes;200
3;Azure;7;yes;658
3;Azure;5;yes;335
3;Azure;4;yes;220
3;Azure;6;no;300
3;Azure;3;no;222
2;Azure;3;no;881
2;Azure;6;no;534
2;Azure;4;no;525
2;Azure;5;no;276
2;Azure;2;no;244
2;Azure;1;yes;202
2;Azure;7;no;140
1;Azure;2;yes;295
1;Azure;7;yes;357
1;Azure;1;yes;160
1;Azure;6;yes;152
1;Azure;3;yes;160
1;Azure;5;yes;226
1;Azure;4;yes;163
